Homolog	Inverted	Non_Inverted	Expected	Fisher_p	Haploblock	p.adj	Annot
AT1G28220	3	1	0.128145538146288	0.000128076068374948	PETFAL_11_syn1	0.000212972205126343	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.
AT1G34060	6	9	0.480545768048579	4.17117345290102e-06	PETFAL_11_syn1	1.3338587635101e-05	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;(source:Araport11)
AT1G45616	4	10	0.448509383512007	0.000811305751689563	PETFAL_11_syn1	0.00112423797019839	receptor like protein 6;(source:Araport11)
AT1G53440	6	5	0.352400229902291	4.29993505523355e-07	PETFAL_11_syn1	2.06484545070283e-06	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT1G55910	3	0	0.0961091536097159	3.28054577225253e-05	PETFAL_11_syn1	6.9989924149948e-05	member of Putative zinc transporter ZIP2 - like family
AT1G56130	7	5	0.384436614438863	2.34410454998591e-08	PETFAL_11_syn1	1.74906262575872e-07	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT1G66880	3	0	0.0961091536097159	3.28054577225253e-05	PETFAL_11_syn1	6.9989924149948e-05	Protein kinase superfamily protein;(source:Araport11)
AT1G80160	3	3	0.192218307219432	0.000610117721270897	PETFAL_11_syn1	0.000867535216086949	Vicinal oxygen chelate (VOC) superfamily member.
AT2G05320	3	0	0.0961091536097159	3.28054577225253e-05	PETFAL_11_syn1	6.9989924149948e-05	beta-1,2-N-acetylglucosaminyltransferase II;(source:Araport11)
AT2G39460	3	0	0.0961091536097159	3.28054577225253e-05	PETFAL_11_syn1	6.9989924149948e-05	Encodes a 60S ribosomal protein L23aA (AtrpL23aA). Paralog of RLPL23aB.
AT2G42610	3	3	0.192218307219432	0.000610117721270897	PETFAL_11_syn1	0.000867535216086949	LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640);(source:Araport11)
AT3G13170	3	0	0.0961091536097159	3.28054577225253e-05	PETFAL_11_syn1	6.9989924149948e-05	Encodes AtSPO11-1, one of the three Arabidopsis homologues of the archaeal DNA topoisomerase VIA subunit (topo VIA).  Required for meiotic recombination.  AtSPO11-1 and AtSPO11-2 have overlapping functions (i.e. both required for meiotic recombination) whereas AtSPO11-3 functions in DNA replication. AtSPO11-1 accumulates in foci in early G2. At 1 h post-S phase, no foci are observed, but by  3 h a majority (80%) of meiocytes at this time point  contain >50 foci. However, by 5 h, AtSPO11-1 foci are  no longer detectable. This suggests that the protein undergoes  a rapid cycle of accumulation and disappearance  in meiocytes over a period of between 1 and 5 h post-S  phase.
AT3G14840	12	9	0.672764075268011	2.50080826043926e-13	PETFAL_11_syn1	4.76171192933817e-12	Encodes LRR-RLK protein that  is localized to the plasma membrane and is involved in regulation of plant innate immunity to microbes. LIK1 is phosphorylated by CERK1, a kinase involved in chitin perception. The mRNA is cell-to-cell mobile.
AT3G26300	4	17	0.672764075268011	0.00405767105895945	PETFAL_11_syn1	0.00454147030060461	putative cytochrome P450
AT3G53010	4	3	0.224254691756004	3.39614187324209e-05	PETFAL_11_syn1	7.10990852599604e-05	carbohydrate esterase, putative (DUF303);(source:Araport11)
AT4G08500	3	5	0.256291076292576	0.00162786017290104	PETFAL_11_syn1	0.0020418418548026	Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19). Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301. Mediates cold, salt, cadmium and wounding stress signalling. Phosphorylates MEK1.
AT4G13750	3	3	0.192218307219432	0.000610117721270897	PETFAL_11_syn1	0.000867535216086949	Encodes NO VEIN (NOV), a plant-specific nuclear factor required for leaf vascular development, cellular patterning and stem cell maintenance in the root meristem, as well as for cotyledon outgrowth and separation. nov mutations affect many aspects of auxin-dependent development without directly affecting auxin perception.
AT4G14130	7	1	0.256291076292576	2.65102947540384e-10	PETFAL_11_syn1	2.83114455024296e-09	xyloglucan endotransglycosylase-related protein (XTR7)
AT4G14746	3	4	0.224254691756004	0.00104223494817475	PETFAL_11_syn1	0.00137835249765788	neurogenic locus notch-like protein;(source:Araport11)
AT4G21390	4	12	0.512582152585151	0.0014015315916506	PETFAL_11_syn1	0.00178098555969574	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G26690	4	2	0.192218307219432	1.49357058607202e-05	PETFAL_11_syn1	4.13932419568532e-05	Glycerophosphoryl diester phosphodiesterase-like protein involved in cell wall cellulose accumulation and pectin linking. Impacts root hair, trichome and epidermal cell development.
AT4G27130	3	4	0.224254691756004	0.00104223494817475	PETFAL_11_syn1	0.00137835249765788	Translation initiation factor SUI1 family protein;(source:Araport11)
AT4G27160	5	0	0.16018192268286	3.34914860534114e-08	PETFAL_11_syn1	2.20841502741197e-07	seed storage albumin 3;(source:Araport11)
AT4G27190	5	11	0.512582152585151	0.000108879119185115	PETFAL_11_syn1	0.000185285518613265	NB-ARC domain-containing disease resistance protein;(source:Araport11)
AT4G27290	35	63	3.13956568458405	2.09420042339642e-27	PETFAL_11_syn1	2.31381030485926e-25	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G27300	12	17	0.929055151560587	3.48214063090921e-11	PETFAL_11_syn1	4.22209551497742e-10	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G36220	5	5	0.32036384536572	7.37718694855031e-06	PETFAL_11_syn1	2.21315608456509e-05	encodes ferulate 5-hydroxylase (F5H). Involved in lignin biosynthesis.
AT5G38020	3	0	0.0961091536097159	3.28054577225253e-05	PETFAL_11_syn1	6.9989924149948e-05	encodes a protein whose sequence is similar to SAM:salicylic acid carboxyl methyltransferase (SAMT) (GI:6002712)(Clarkia breweri) and to SAM:benzoic acid carboxyl methyltransferase (BAMT)(GI:9789277)(Antirrhinum majus). SABATH family methyltransferase.
AT5G38430	3	0	0.0961091536097159	3.28054577225253e-05	PETFAL_11_syn1	6.9989924149948e-05	Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410).
AT5G42180	8	5	0.416472998975435	1.21121255797775e-09	PETFAL_11_syn1	1.13573405187598e-08	Peroxidase required for casparian strip lignification as well as partially required for SGN-dependent compensatory lignification.
AT5G47650	4	4	0.256291076292576	6.61929069642818e-05	PETFAL_11_syn1	0.000120388349541288	Encodes an ADP-ribose pyrophosphatase that confers enhanced tolerance to oxidative stress.
AT5G48380	3	6	0.288327460829148	0.00238373226680154	PETFAL_11_syn1	0.00284289380999692	Encodes a BAK1-interacting receptor-like kinase named BIR1.  Negatively regulates multiple plant resistance signaling pathways, one of which is the SOBIR1(AT2G31880)-dependent pathway.
AT5G54250	3	1	0.128145538146288	0.000128076068374948	PETFAL_11_syn1	0.000212972205126343	member of Cyclic nucleotide gated channel family, downstream component of the signaling pathways leading to HR resistance. mutant plants exhibit gene-for-gene disease resistance against avirulent Pseudomonas syringae despite the near-complete absence of the hypersensitive response (HR). Salicylic acid accumulation in dnd2 mutants is completely PAD4-independent.
AT5G56180	3	3	0.192218307219432	0.000610117721270897	PETFAL_11_syn1	0.000867535216086949	encodes a protein whose sequence is similar to actin-related proteins (ARPs) in other organisms. Member of nuclear ARP family of genes.
AT5G66460	3	7	0.32036384536572	0.00332449958805891	PETFAL_11_syn1	0.00377902101611384	Encodes a endo-beta-mannanase involved in seed germination and silique dehiscence.
AT1G14130	3	8	0.435964714996127	0.00807205140542181	PETFAL_14_syn1	0.00869987762584351	DAO1 is an IAA oxidase expressed in many different plant parts. it is a member of a family of dioxygenase and 2OG Fe(II) oxygenase domain and DAO domain containing proteins. It appears to be the major IAA oxidase in planta and major contributor to IAA degradation.
AT1G16130	11	18	1.14936152135342	6.55348381293007e-09	PETFAL_14_syn1	5.59851231602439e-08	Encodes a WAK-like receptor-like kinase with a cytoplasmic Ser/Thr protein kinase domain and an extracellular domain with EGF-like repeats.
AT1G23800	5	1	0.237798935452433	5.63989664700171e-07	PETFAL_14_syn1	2.48668170345076e-06	Encodes a mitochondrial aldehyde dehydrogenase; nuclear gene for mitochondrial product.
AT1G65780	3	2	0.198165779543694	0.000585128908472062	PETFAL_14_syn1	0.000859962183663485	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT1G65810	4	7	0.435964714996127	0.000648430806303432	PETFAL_14_syn1	0.000907179637664898	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT1G70520	5	19	0.951195741809731	0.00219945262729745	PETFAL_14_syn1	0.00266683631059815	Encodes a cysteine-rich receptor-like protein kinase. Involved in regulating microbe-associated molecular pattern-triggered ROS production. Required for MAMP-triggered responses and resistance to Pseudomonas syringae pv. tomato  118 DC3000 .
AT1G76520	6	2	0.31706524726991	1.00383513943956e-07	PETFAL_14_syn1	5.61761587647908e-07	Auxin efflux carrier family protein;(source:Araport11)
AT2G22330	3	4	0.277432091361172	0.00192882359210333	PETFAL_14_syn1	0.00234848395523879	Encodes a cytochrome P450. Involved in tryptophan metabolism. Converts Trp to indole-3-acetaldoxime (IAOx), a precursor to IAA and indole glucosinolates. The mRNA is cell-to-cell mobile.
AT2G22590	6	2	0.31706524726991	1.00383513943956e-07	PETFAL_14_syn1	5.61761587647908e-07	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT2G27040	3	4	0.277432091361172	0.00192882359210333	PETFAL_14_syn1	0.00234848395523879	AGO4 is a member of a class of PAZ/PIWI domain containing proteins involved in siRNA mediated gene silencing.Loss of function mutations have reduced site specific CpNpG and CpHpH methylation and increased susceptibility to bacterial pathogens including Tobacco rattle virus.
AT3G01420	5	6	0.435964714996127	3.67510536277906e-05	PETFAL_14_syn1	7.47871091306787e-05	Encodes an alpha-dioxygenase involved in protection against oxidative stress and cell death. Induced in response to Salicylic acid and oxidative stress.  Independent of NPR1 in  induction by salicylic acid. The mRNA is cell-to-cell mobile.
AT3G01740	3	0	0.118899467726216	6.21421970701385e-05	PETFAL_14_syn1	0.000114443212746625	Mitochondrial ribosomal protein L37;(source:Araport11)
AT3G23240	6	13	0.753029962266037	6.67325430180049e-05	PETFAL_14_syn1	0.000120615962846208	encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ERF1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5. EREBP like protein that binds GCC box of ethylene regulated promoters such as basic chitinases. Constitutive expression of ERF1 phenocopies ethylene over production. Involved in ethylene signaling cascade,downstream of EIN2 and EIN3.
AT3G28345	7	11	0.713396806357298	3.28266836580398e-06	PETFAL_14_syn1	1.17932900549254e-05	Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem.
AT3G29060	4	11	0.594497338631082	0.00236217587785183	PETFAL_14_syn1	0.00282877852039046	EXS (ERD1/XPR1/SYG1) family protein;(source:Araport11)
AT3G50930	3	8	0.435964714996127	0.00807205140542181	PETFAL_14_syn1	0.00869987762584351	Encodes a protein that is present in a homo-multimeric protein complex on the outer mitochondrial membrane and plays a role in cell death and amplifying salicylic acid signalling. The mRNA is cell-to-cell mobile.
AT3G51520	6	3	0.356698403178649	2.90971733101404e-07	PETFAL_14_syn1	1.45987541952601e-06	Encodes a functional acyl-CoA:diacylglycerol acyltransferase with different acyl-CoA substrate preferences and shows higher DAG to TAG conversion rate than AtDGAT1. It increases both C18:2 and C18:3 polyunsaturated fatty acids at the expense of C16:0.
AT4G24220	3	3	0.237798935452433	0.00113567592686137	PETFAL_14_syn1	0.00146880753207404	encodes a progesterone-5beta-reductase-like  protein. It has enone reductase activity against a wide range of substrates, including 3-oxo-&#916;-4,5-steroids in vitro. The in vivo substrates and product of this enzyme have not yet been elucidated but it is likely to participate in steroid metabolism. The protein contains a mammalian death domain involved in programmed cell death. The gene is expressed in the vascular system and mutants carrying a dominant mutation in the gene have defective vascular patterning. VEP1 gene expression is induced specifically by wounding.
AT4G25650	5	15	0.792663118174776	0.000915191917402821	PETFAL_14_syn1	0.00125623041492557	Similar to ACD1. Leaves of antisense ACD1-like plants turn yellow in darkness like wild-type whereas antisense ACD1 plants remain dark after five days of dark treatment.
AT4G36195	3	1	0.158532623634955	0.000241193537271255	PETFAL_14_syn1	0.000365558954926746	Serine carboxypeptidase S28 family protein;(source:Araport11)
AT4G37970	3	1	0.158532623634955	0.000241193537271255	PETFAL_14_syn1	0.000365558954926746	cinnamyl alcohol dehydrogenase 6;(source:Araport11)
AT4G40020	3	3	0.237798935452433	0.00113567592686137	PETFAL_14_syn1	0.00146880753207404	Myosin heavy chain-related protein;(source:Araport11)
AT5G03760	7	4	0.435964714996127	4.3490737048268e-08	PETFAL_14_syn1	2.58281724102979e-07	encodes a beta-mannan synthase that is required for agrobacterium-mediated plant genetic transformation involves a complex interaction between the bacterium and the host plant. 3' UTR is involved in transcriptional regulation and the gene is expressed in the elongation zone of the root.
AT5G08560	3	4	0.277432091361172	0.00192882359210333	PETFAL_14_syn1	0.00234848395523879	WRDR26 is a WD-40 repeat containing protein initially identified as an interacting partner RanBPM. Its expression is induced by abiotic stress as well as various plant growth regulators including IAA, ABA and ethylene. Role as a novel modulator of redox homeostatis, responding to developmental and stress signals to regulate leaf senescence.
AT5G09760	3	1	0.158532623634955	0.000241193537271255	PETFAL_14_syn1	0.000365558954926746	Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11)
AT5G10530	11	31	1.66459254816703	5.04321994856488e-07	PETFAL_14_syn1	2.25781077697289e-06	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
AT5G12920	3	0	0.118899467726216	6.21421970701385e-05	PETFAL_14_syn1	0.000114443212746625	Transducin/WD40 repeat-like superfamily protein;(source:Araport11)
AT5G16710	3	1	0.158532623634955	0.000241193537271255	PETFAL_14_syn1	0.000365558954926746	DHAR3 protein undergoes thiolation following treatment with the  oxidant tert-butylhydroperoxide.Encodes 30-40% of extractable leaf GSH-dependent DHAR activity. Single knockout mutants show unaltered ascorbate and glutathione status in optimal and oxidative stress conditions.Makes a minor contribution to glutathione oxidation in response to increased intracellular hydrogen peroxide (catalase deficiency) (PMID:28381499).
AT5G35810	7	23	1.18899467726216	0.000138302773797384	PETFAL_14_syn1	0.000224838587570049	Ankyrin repeat family protein;(source:Araport11)
AT5G36110	8	18	1.03046205362721	4.93110411063277e-06	PETFAL_14_syn1	1.52654393212142e-05	Encodes a member of the CYP716A subfamily of cytochrome P450 monooxygenases with triterpene oxidizing activity catalyzing C-28 hydroxylation of alpha-amyrin, beta-amyrin, and lupeol, producing uvaol, erythrodiol, and betulin, respectively. Additionally, it shows carboxylation activity for the C-28 position of alpha- and beta-amyrin.
AT5G39410	4	3	0.277432091361172	7.81457065387425e-05	PETFAL_14_syn1	0.000136990365076952	Saccharopine dehydrogenase;(source:Araport11)
AT5G60580	3	5	0.31706524726991	0.00299529696039012	PETFAL_14_syn1	0.00347263512140847	RING/U-box superfamily protein;(source:Araport11)
AT5G60660	3	8	0.435964714996127	0.00807205140542181	PETFAL_14_syn1	0.00869987762584351	A member of the plasma membrane intrinsic protein subfamily PIP2.When expressed in yeast cells can conduct hydrogen peroxide into those cells. Mutants exhibit longer root hairs.
AT5G66900	4	12	0.634130494539821	0.00305146957451337	PETFAL_14_syn1	0.00352372081818805	RPW8 -CNL gene is required for signal transduction of TNLs; functionally redundant to NRG1.2. Exhibits autoimmunity.
AT1G64880	3	1	0.0367843666441762	3.06459129635174e-06	PETFAL_17_syn1	1.11474508404794e-05	Ribosomal protein S5 family protein;(source:Araport11)
AT2G37430	5	5	0.0919609166104406	1.55311262519481e-08	PETFAL_17_syn1	1.22150209170727e-07	Encodes a member of the zinc finger family of transcriptional regulators. It is expressed in many root tips, primary roots, cotyledons and hypocotyl. The protein is localized to the nucleus. Overexpression of ZAT11 causes increased root growth and increased sensitivity to nickel ions. The mRNA is cell-to-cell mobile.
AT3G26922	3	14	0.156333558237749	0.000476632923141443	PETFAL_17_syn1	0.000707653982827346	F-box/RNI-like superfamily protein;(source:Araport11)
AT5G27650	3	2	0.0459804583052203	7.60908636943606e-06	PETFAL_17_syn1	2.23661023586454e-05	PWWP domain protein involved in regulation of FLC and flowering time.
AT5G47580	4	58	0.570157682984731	0.00257899274811782	PETFAL_17_syn1	0.00305075971423694	transmembrane protein;(source:Araport11)
AT5G50690	3	0	0.0275882749831322	7.71425419645187e-07	PETFAL_17_syn1	3.25340285676448e-06	Encodes a putative hydroxysteroid dehydrogenase (HSD). Genes that encode HSD include:   At5g50600 and At5g50700 (HSD1), At3g47350(HSD2), At3g47360(HSD3), At5g50590 and At5g50690(HSD4), At5g50770(HSD6) (Plant Cell Physiology 50:1463).  Two copies of HSD1 and HSD4 exist due to a gene duplication event.  In Plant Physiology 145:87, At5g50690 is HSD7, At4g10020 is HSD5.
AT1G22400	4	7	0.17427593272859	1.88523082860109e-05	PETPET_05_syn1	4.81229974669225e-05	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT3G48090	3	1	0.0633730664467601	1.56459504122677e-05	PETPET_05_syn1	4.15863364283572e-05	Component of R gene-mediated disease resistance in Arabidopsis thaliana with homology to eukaryotic lipases.
AT3G48280	6	21	0.427768198515631	3.44376937558429e-06	PETPET_05_syn1	1.22211815645735e-05	putative cytochrome P450
AT3G48770	6	0	0.0950595996701402	1.54499200148176e-11	PETPET_05_syn1	2.04360305650542e-10	ATP/DNA binding protein;(source:Araport11)
AT3G61440	3	2	0.0792163330584501	3.86526199831771e-05	PETPET_05_syn1	7.75718097593416e-05	Encodes a cysteine synthase isomer CysC1. The isomer is however less effective in cysteine biosynthesis. It is involved in beta-cyanoalanine biosynthesis, an intermediate of cyanide detoxification pathway. The mRNA is cell-to-cell mobile.
AT4G12300	3	22	0.396081665292251	0.00702284437570922	PETPET_05_syn1	0.00765411128588533	member of CYP706A
AT4G26090	3	2	0.0792163330584501	3.86526199831771e-05	PETPET_05_syn1	7.75718097593416e-05	Encodes a plasma membrane protein with  leucine-rich repeat, leucine zipper, and P loop domains that confers resistance to Pseudomonas syringae infection by interacting with the avirulence gene avrRpt2.  RPS2 protein interacts directly with plasma membrane associated protein RIN4 and this interaction is disrupted by avrRpt2. The mRNA is cell-to-cell mobile.
AT4G27420	4	1	0.0792163330584501	3.08170698328104e-07	PETPET_05_syn1	1.51996056294031e-06	ABC-2 type transporter family protein;(source:Araport11)
AT5G07740	3	16	0.301022065622111	0.00317432494179765	PETPET_05_syn1	0.0036367266065477	actin binding protein;(source:Araport11)
AT5G48930	9	7	0.25349226578704	6.16053378322185e-13	PETPET_05_syn1	1.0545384299515e-11	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
AT5G55050	3	9	0.19011919934028	0.00078266272745513	PETPET_05_syn1	0.00108973614205475	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates. The mRNA is cell-to-cell mobile.
AT5G55340	3	0	0.0475297998350701	3.9583028887697e-06	PETPET_05_syn1	1.28592651072663e-05	MBOAT (membrane bound O-acyl transferase) family protein;(source:Araport11)
AT1G02170	3	6	0.127070994827198	0.000220733350382059	PETPET_09_syn1	0.000349094592180321	Encodes a type I metacaspase. Two Arabidopsis metacaspases, AT1G02170 (MC1) and AT4G25110 (MC2)  antagonistically control programmed cell death in Arabidopsis. MC1 is a positive regulator of cell death and requires conserved caspase-like putative catalytic residues for its function. MC2 negatively regulates cell death. This function is independent of the putative catalytic residues.  A third type I Arabidopsis metacaspase is MC3 (AT5g64240).
AT1G15520	3	21	0.338855986205862	0.00454408000458659	PETPET_09_syn1	0.00502786038530303	ABC transporter family involved in ABA transport and resistance to lead. Localizes to plasma membrane. Upregulated by lead. Expressed in leaves, flowers, stomata and roots.
AT1G34070	3	6	0.127070994827198	0.000220733350382059	PETPET_09_syn1	0.000349094592180321	Copia-like polyprotein/retrotransposon;(source:Araport11)
AT1G49230	3	2	0.0705949971262214	2.74119561391588e-05	PETPET_09_syn1	6.69746108203897e-05	RING/U-box superfamily protein;(source:Araport11)
AT2G17480	3	4	0.0988329959767099	9.393468132294e-05	PETPET_09_syn1	0.000160794072146915	A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s).
AT3G06240	5	65	0.988329959767099	0.00313831250499453	PETPET_09_syn1	0.00360967960060636	F-box family protein;(source:Araport11)
AT3G16520	3	3	0.0847139965514656	5.42472051682739e-05	PETPET_09_syn1	0.000103176056888678	UDP-glucosyl transferase 88A1;(source:Araport11)
AT3G25830	4	12	0.225903990803908	6.25308275832075e-05	PETPET_09_syn1	0.000114443212746625	Encodes the monoterpene 1,8-cineole synthase, atTPS-Cin. This polypeptide was also shown to synthesize other monoterpenes albeit in minor quantities. The same polypeptide is encoded at two different loci, the result of gene duplication: at3g25820 and at3g25830.
AT3G56400	4	11	0.211784991378664	4.74274039505865e-05	PETPET_09_syn1	9.32525307406801e-05	Member of WRKY Transcription Factor; Group III. Function as activator of SA-dependent defense genes and a repressor of JA-regulated genes. WRKY70-controlled suppression of  JA-signaling is partly executed by NPR1.
AT4G16730	3	4	0.0988329959767099	9.393468132294e-05	PETPET_09_syn1	0.000160794072146915	In the Col ecotype, no functional protein is encoded at this locus due to the presence of a two-base (AT) insertion 184 nucleotides  downstream of the start codon leading to a  frame shift and premature translational termination. However, in the Ws ecotype, a functional terpene synthase that localizes to the chloroplast is encoded at this locus. It can catalyze the synthesis of (E)-beta-ocimene and (E,E)-alpha farnesene in vitro, but, it has more activity as an (E)-beta-ocimene synthase activity in vivo. This may reflect the greater availability of the GPP precursor of (E)-beta-ocimene than of the FPP precursor of (E,E)-alpha-farnesene in the chloroplasts where the Ws TPS02 is present.
AT5G06160	3	0	0.0423569982757328	2.79985102391423e-06	PETPET_09_syn1	1.04455980507569e-05	Encodes a protein with similarity to pre-mRNA splicing factor SF3a60 that is involved in gametic cell fate determination. Loss of function results in the ectopic expression of egg cell makers suggesting a role in restriction of gametic cell fate.  Expressed strongly in gametophytes and weakly in sporophytes.
AT5G13750	12	3	0.211784991378664	2.44660873469301e-20	PETPET_09_syn1	1.18660523632611e-18	zinc induced facilitator-like 1;(source:Araport11)
AT5G16530	5	3	0.112951995401954	2.98077260909325e-08	PETPET_09_syn1	2.01722053313055e-07	Encodes PIN5, an atypical member of the PIN family.  PIN5 is a functional auxin transporter that is required for auxin-mediated development. PIN5 does not have a direct role in cell-to-cell transport but regulates intracellular auxin homeostasis and metabolism. PIN5 localizes, unlike other characterized plasma membrane PIN proteins, to endoplasmic reticulum (ER), presumably mediating auxin flow from the cytosol to the lumen of the ER. It acts together with PIN8 in affecting pollen development and auxin homeostasis.
AT5G53220	4	0	0.0564759977009771	3.93241434357924e-08	PETPET_09_syn1	2.38402619579491e-07	hypothetical protein;(source:Araport11)
AT1G17840	5	4	0.289451982907264	3.86199575379329e-06	PETPET_11_syn1	1.28592651072663e-05	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.
AT1G22360	5	8	0.418097308643826	3.54167467125352e-05	PETPET_11_syn1	7.25793893897729e-05	UDP-glucosyl transferase 85A2;(source:Araport11)
AT1G25260	3	4	0.225129320038983	0.00105408390228474	PETPET_11_syn1	0.00137835249765788	Involved in male gamete development. Trans-acting factor in the assembly of the pre-60S particle.
AT1G28220	3	1	0.128645325736562	0.000129569207774251	PETPET_11_syn1	0.000213020561933938	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.
AT1G34060	6	9	0.482419971512107	4.26572443517756e-06	PETPET_11_syn1	1.34926718547464e-05	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;(source:Araport11)
AT1G45616	4	10	0.450258640077967	0.000823215533542567	PETPET_11_syn1	0.00113533516711321	receptor like protein 6;(source:Araport11)
AT1G53440	6	5	0.353774645775545	4.39932707709881e-07	PETPET_11_syn1	2.06484545070283e-06	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT1G55910	3	0	0.0964839943024215	3.31910980504908e-05	PETPET_11_syn1	6.9989924149948e-05	member of Putative zinc transporter ZIP2 - like family
AT1G56130	7	5	0.385935977209686	2.40765658997337e-08	PETPET_11_syn1	1.75157016920563e-07	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT1G66880	3	0	0.0964839943024215	3.31910980504908e-05	PETPET_11_syn1	6.9989924149948e-05	Protein kinase superfamily protein;(source:Araport11)
AT1G80160	3	3	0.192967988604843	0.000617112679484531	PETPET_11_syn1	0.000867535216086949	Vicinal oxygen chelate (VOC) superfamily member.
AT2G05320	3	0	0.0964839943024215	3.31910980504908e-05	PETPET_11_syn1	6.9989924149948e-05	beta-1,2-N-acetylglucosaminyltransferase II;(source:Araport11)
AT2G39460	3	0	0.0964839943024215	3.31910980504908e-05	PETPET_11_syn1	6.9989924149948e-05	Encodes a 60S ribosomal protein L23aA (AtrpL23aA). Paralog of RLPL23aB.
AT2G42610	3	3	0.192967988604843	0.000617112679484531	PETPET_11_syn1	0.000867535216086949	LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640);(source:Araport11)
AT3G13170	3	0	0.0964839943024215	3.31910980504908e-05	PETPET_11_syn1	6.9989924149948e-05	Encodes AtSPO11-1, one of the three Arabidopsis homologues of the archaeal DNA topoisomerase VIA subunit (topo VIA).  Required for meiotic recombination.  AtSPO11-1 and AtSPO11-2 have overlapping functions (i.e. both required for meiotic recombination) whereas AtSPO11-3 functions in DNA replication. AtSPO11-1 accumulates in foci in early G2. At 1 h post-S phase, no foci are observed, but by  3 h a majority (80%) of meiocytes at this time point  contain >50 foci. However, by 5 h, AtSPO11-1 foci are  no longer detectable. This suggests that the protein undergoes  a rapid cycle of accumulation and disappearance  in meiocytes over a period of between 1 and 5 h post-S  phase.
AT3G14840	12	9	0.67538796011695	2.61812339757425e-13	PETPET_11_syn1	4.76171192933817e-12	Encodes LRR-RLK protein that  is localized to the plasma membrane and is involved in regulation of plant innate immunity to microbes. LIK1 is phosphorylated by CERK1, a kinase involved in chitin perception. The mRNA is cell-to-cell mobile.
AT3G26300	4	17	0.67538796011695	0.00411437099323168	PETPET_11_syn1	0.00458728719935027	putative cytochrome P450
AT3G53010	4	3	0.225129320038983	3.44843824175835e-05	PETPET_11_syn1	7.167825202512e-05	carbohydrate esterase, putative (DUF303);(source:Araport11)
